transaction_id,customer_id,transaction_amount,transaction_date,merchant_category,city
66,204,859,2022-03-07,Fuel,Bangalore
67,1077,2868,2022-03-08,Electronics,Mumbai
68,974,3188,2022-03-09,Fuel,Delhi
69,1399,2215,2022-03-10,Electronics,Chennai
70,1866,4328,2022-03-11,Electronics,Bangalore
71,1300,1823,2022-03-12,Fuel,Bangalore
72,1055,3066,2022-03-13,Electronics,Bangalore
73,1159,529,2022-03-14,Travel,Bangalore
74,105,2455,2022-03-15,Electronics,Kolkata
75,253,2559,2022-03-16,Electronics,Mumbai
76,295,4292,2022-03-17,Fuel,Chennai
77,1182,1818,2022-03-18,Grocery,Chennai
78,549,1365,2022-03-19,Dining,Mumbai
79,1778,1408,2022-03-20,Electronics,Delhi
80,299,1150,2022-03-21,Dining,Mumbai
81,1749,3573,2022-03-22,Electronics,Bangalore
82,1844,2349,2022-03-23,Fuel,Bangalore
83,101,2909,2022-03-24,Fuel,Mumbai
84,2380,3021,2022-03-25,Electronics,Mumbai
85,1775,4776,2022-03-26,Fuel,Chennai
86,2441,4141,2022-03-27,Fuel,Chennai
87,874,2517,2022-03-28,Electronics,Kolkata
88,2429,632,2022-03-29,Grocery,Kolkata
89,92,998,2022-03-30,Electronics,Bangalore
90,447,2754,2022-03-31,Grocery,Kolkata
91,109,1569,2022-04-01,Fuel,Kolkata
92,317,3020,2022-04-02,Grocery,Delhi
93,1836,1352,2022-04-03,Fuel,Mumbai
94,1944,869,2022-04-04,Grocery,Chennai
95,1459,933,2022-04-05,Grocery,Kolkata
96,442,2309,2022-04-06,Electronics,Chennai
97,2266,4749,2022-04-07,Grocery,Kolkata
98,1246,3524,2022-04-08,Fuel,Kolkata
99,1552,1191,2022-04-09,Electronics,Bangalore
100,278,1296,2022-04-10,Grocery,Delhi
101,569,4014,2022-04-11,Electronics,Mumbai
102,1010,1760,2022-04-12,Dining,Mumbai
103,839,4754,2022-04-13,Electronics,Bangalore
104,1608,360,2022-04-14,Dining,Bangalore
105,30,2364,2022-04-15,Dining,Mumbai
106,2407,1285,2022-04-16,Electronics,Mumbai
107,1943,2549,2022-04-17,Fuel,Delhi
108,2134,3633,2022-04-18,Fuel,Kolkata
109,1258,4470,2022-04-19,Fuel,Delhi
110,2361,4401,2022-04-20,Travel,Mumbai
111,365,3444,2022-04-21,Dining,Kolkata
112,1801,966,2022-04-22,Electronics,Mumbai
113,1823,192,2022-04-23,Fuel,Delhi
114,1863,3278,2022-04-24,Fuel,Delhi
115,905,1451,2022-04-25,Electronics,Delhi
116,698,464,2022-04-26,Dining,Kolkata
117,2179,3818,2022-04-27,Electronics,Chennai
118,1856,2024,2022-04-28,Travel,Chennai
119,351,3195,2022-04-29,Travel,Mumbai
120,180,2638,2022-04-30,Electronics,Kolkata
121,1504,1396,2022-05-01,Dining,Bangalore
122,1187,2376,2022-05-02,Fuel,Chennai
123,1807,102,2022-05-03,Travel,Kolkata
124,774,3592,2022-05-04,Travel,Kolkata
125,510,1853,2022-05-05,Dining,Chennai
126,365,1010,2022-05-06,Travel,Kolkata
127,353,406,2022-05-07,Travel,Kolkata
128,1107,4331,2022-05-08,Dining,Chennai
129,1249,4115,2022-05-09,Electronics,Delhi
130,412,1538,2022-05-10,Fuel,Mumbai
131,735,972,2022-05-11,Fuel,Bangalore
132,118,1241,2022-05-12,Travel,Mumbai
133,482,765,2022-05-13,Fuel,Delhi
134,192,308,2022-05-14,Electronics,Delhi
135,107,1051,2022-05-15,Travel,Kolkata
136,382,1157,2022-05-16,Fuel,Mumbai
137,783,4844,2022-05-17,Grocery,Delhi
138,2438,4822,2022-05-18,Grocery,Mumbai
139,244,4720,2022-05-19,Grocery,Delhi
140,468,4108,2022-05-20,Grocery,Bangalore
141,866,1968,2022-05-21,Grocery,Delhi
142,1562,4964,2022-05-22,Travel,Mumbai
143,1234,871,2022-05-23,Dining,Kolkata
144,604,4935,2022-05-24,Dining,Mumbai
145,1661,4130,2022-05-25,Travel,Chennai
146,1097,621,2022-05-26,Travel,Mumbai
147,2016,3455,2022-05-27,Electronics,Bangalore
148,1659,1500,2022-05-28,Dining,Bangalore
149,1734,3838,2022-05-29,Grocery,Bangalore
150,1614,4443,2022-05-30,Travel,Delhi
151,860,3823,2022-05-31,Grocery,Bangalore
152,1880,3347,2022-06-01,Dining,Mumbai
153,1277,1958,2022-06-02,Fuel,Kolkata
154,13,4881,2022-06-03,Fuel,Bangalore
155,2347,4164,2022-06-04,Travel,Mumbai
156,1100,4781,2022-06-05,Electronics,Delhi
157,1075,2498,2022-06-06,Grocery,Delhi
158,787,242,2022-06-07,Travel,Kolkata
159,149,2951,2022-06-08,Electronics,Kolkata
160,1755,3569,2022-06-09,Grocery,Mumbai
161,2170,3795,2022-06-10,Dining,Kolkata
162,1304,817,2022-06-11,Fuel,Kolkata
163,1180,742,2022-06-12,Electronics,Delhi
164,2424,3540,2022-06-13,Grocery,Mumbai
165,82,2648,2022-06-14,Travel,Kolkata
166,492,3793,2022-06-15,Grocery,Mumbai
167,2404,469,2022-06-16,Travel,Bangalore
168,2026,3750,2022-06-17,Fuel,Delhi
169,925,886,2022-06-18,Fuel,Delhi
170,1297,1049,2022-06-19,Grocery,Delhi
171,1604,621,2022-06-20,Grocery,Chennai
172,1597,3043,2022-06-21,Travel,Mumbai
173,123,454,2022-06-22,Travel,Bangalore
174,708,2435,2022-06-23,Electronics,Kolkata
175,2378,1582,2022-06-24,Electronics,Bangalore
176,991,1747,2022-06-25,Electronics,Mumbai
177,2371,3145,2022-06-26,Grocery,Delhi
178,2041,4731,2022-06-27,Electronics,Chennai
179,2481,2315,2022-06-28,Grocery,Mumbai
180,710,4816,2022-06-29,Fuel,Mumbai
181,794,527,2022-06-30,Dining,Kolkata
182,712,2637,2022-07-01,Fuel,Bangalore
183,1718,644,2022-07-02,Grocery,Bangalore
184,257,2864,2022-07-03,Grocery,Kolkata
185,1213,3865,2022-07-04,Dining,Chennai
186,871,758,2022-07-05,Travel,Delhi
187,1732,2927,2022-07-06,Travel,Delhi
188,809,2158,2022-07-07,Travel,Chennai
189,271,3427,2022-07-08,Electronics,Kolkata
190,1544,830,2022-07-09,Travel,Mumbai
191,550,1932,2022-07-10,Electronics,Bangalore
192,1138,508,2022-07-11,Electronics,Mumbai
193,568,4279,2022-07-12,Travel,Bangalore
194,359,3347,2022-07-13,Travel,Mumbai
195,1674,4902,2022-07-14,Dining,Kolkata
196,1638,233,2022-07-15,Dining,Kolkata
197,1358,4983,2022-07-16,Electronics,Chennai
198,1713,766,2022-07-17,Dining,Mumbai
199,1363,376,2022-07-18,Electronics,Mumbai
200,798,3407,2022-07-19,Grocery,Chennai
201,1285,981,2022-07-20,Electronics,Chennai
202,887,2160,2022-07-21,Electronics,Kolkata
203,1759,2182,2022-07-22,Dining,Kolkata
204,1223,1337,2022-07-23,Grocery,Mumbai
205,2259,2552,2022-07-24,Fuel,Kolkata
206,287,258,2022-07-25,Fuel,Kolkata
207,1716,2696,2022-07-26,Fuel,Mumbai
208,1786,3915,2022-07-27,Grocery,Chennai
209,743,4474,2022-07-28,Travel,Mumbai
210,1506,2626,2022-07-29,Grocery,Delhi
211,2041,210,2022-07-30,Dining,Mumbai
212,1047,641,2022-07-31,Electronics,Delhi
213,296,1238,2022-08-01,Electronics,Mumbai
214,2054,3383,2022-08-02,Dining,Delhi
215,681,3710,2022-08-03,Dining,Delhi
216,1892,4555,2022-08-04,Electronics,Mumbai
217,795,3657,2022-08-05,Travel,Kolkata
218,203,2519,2022-08-06,Travel,Bangalore
219,325,1856,2022-08-07,Travel,Kolkata
220,2292,3186,2022-08-08,Dining,Delhi
221,327,2406,2022-08-09,Electronics,Mumbai
222,987,1075,2022-08-10,Electronics,Mumbai
223,761,822,2022-08-11,Electronics,Mumbai
224,1037,2670,2022-08-12,Grocery,Mumbai
225,907,424,2022-08-13,Grocery,Bangalore
226,1404,1629,2022-08-14,Fuel,Chennai
227,365,2045,2022-08-15,Grocery,Delhi
228,1245,4586,2022-08-16,Travel,Bangalore
229,2121,2530,2022-08-17,Travel,Kolkata
230,1649,4211,2022-08-18,Travel,Chennai
231,1070,3610,2022-08-19,Travel,Chennai
232,274,945,2022-08-20,Fuel,Mumbai
233,2256,667,2022-08-21,Travel,Bangalore
234,1953,3788,2022-08-22,Dining,Kolkata
235,1885,2279,2022-08-23,Dining,Mumbai
236,124,2119,2022-08-24,Dining,Mumbai
237,1353,3419,2022-08-25,Grocery,Delhi
238,1692,2420,2022-08-26,Electronics,Chennai
239,2108,1746,2022-08-27,Fuel,Kolkata
240,442,4103,2022-08-28,Dining,Chennai
241,1241,4009,2022-08-29,Dining,Bangalore
242,911,3520,2022-08-30,Travel,Delhi
243,1026,2631,2022-08-31,Dining,Mumbai
244,1560,456,2022-09-01,Travel,Delhi
245,1742,3181,2022-09-02,Travel,Mumbai
246,1735,2380,2022-09-03,Electronics,Delhi
247,626,4231,2022-09-04,Grocery,Mumbai
248,1691,2560,2022-09-05,Travel,Chennai
249,998,2887,2022-09-06,Travel,Chennai
250,91,4309,2022-09-07,Electronics,Chennai
251,2215,1297,2022-09-08,Travel,Chennai
252,207,1378,2022-09-09,Fuel,Delhi
253,1089,565,2022-09-10,Grocery,Mumbai
254,1912,4100,2022-09-11,Fuel,Chennai
255,516,3448,2022-09-12,Dining,Delhi
256,1181,1587,2022-09-13,Grocery,Mumbai
257,1793,4697,2022-09-14,Dining,Delhi
258,2354,4636,2022-09-15,Travel,Chennai
259,1902,425,2022-09-16,Electronics,Bangalore
260,2006,1865,2022-09-17,Fuel,Delhi
261,395,4262,2022-09-18,Dining,Chennai
262,1098,403,2022-09-19,Travel,Kolkata
263,187,4679,2022-09-20,Fuel,Mumbai
264,1598,1540,2022-09-21,Fuel,Chennai
265,1592,248,2022-09-22,Dining,Kolkata
266,730,3134,2022-09-23,Travel,Delhi
267,240,2731,2022-09-24,Electronics,Delhi
268,141,195,2022-09-25,Dining,Kolkata
269,139,3555,2022-09-26,Fuel,Kolkata
270,70,4477,2022-09-27,Fuel,Mumbai
271,385,2469,2022-09-28,Grocery,Delhi
272,630,3567,2022-09-29,Travel,Kolkata
273,2246,628,2022-09-30,Grocery,Bangalore
274,205,2410,2022-10-01,Electronics,Bangalore
275,1750,4775,2022-10-02,Dining,Kolkata
276,568,1763,2022-10-03,Fuel,Mumbai
277,982,3464,2022-10-04,Travel,Delhi
278,805,2441,2022-10-05,Fuel,Bangalore
279,1711,792,2022-10-06,Grocery,Kolkata
280,882,4430,2022-10-07,Grocery,Kolkata
281,2036,1051,2022-10-08,Dining,Chennai
282,974,1460,2022-10-09,Travel,Kolkata
283,640,638,2022-10-10,Travel,Mumbai
284,1455,919,2022-10-11,Dining,Bangalore
285,325,3262,2022-10-12,Grocery,Chennai
286,442,4025,2022-10-13,Grocery,Bangalore
287,804,371,2022-10-14,Grocery,Bangalore
288,2336,1128,2022-10-15,Fuel,Mumbai
289,226,3765,2022-10-16,Electronics,Kolkata
290,1088,1342,2022-10-17,Grocery,Mumbai
291,967,1241,2022-10-18,Electronics,Kolkata
292,560,692,2022-10-19,Electronics,Chennai
293,714,1705,2022-10-20,Travel,Mumbai
294,498,4310,2022-10-21,Dining,Mumbai
295,2108,3477,2022-10-22,Fuel,Delhi
296,257,4171,2022-10-23,Electronics,Mumbai
297,577,4402,2022-10-24,Fuel,Delhi
298,2287,3794,2022-10-25,Travel,Kolkata
299,38,2450,2022-10-26,Grocery,Kolkata
300,2073,4307,2022-10-27,Electronics,Kolkata
301,410,1540,2022-10-28,Dining,Delhi
302,461,3726,2022-10-29,Travel,Kolkata
303,1441,1982,2022-10-30,Fuel,Bangalore
304,2405,3811,2022-10-31,Grocery,Mumbai
305,383,284,2022-11-01,Fuel,Delhi
306,1833,320,2022-11-02,Dining,Kolkata
307,569,3288,2022-11-03,Electronics,Bangalore
308,1072,1193,2022-11-04,Dining,Mumbai
309,433,3045,2022-11-05,Fuel,Mumbai
310,56,2574,2022-11-06,Fuel,Kolkata
311,2316,2715,2022-11-07,Dining,Bangalore
312,2117,2112,2022-11-08,Dining,Delhi
313,1752,2590,2022-11-09,Dining,Kolkata
314,2048,700,2022-11-10,Grocery,Mumbai
315,902,1260,2022-11-11,Fuel,Mumbai
316,1625,4699,2022-11-12,Travel,Mumbai
317,257,4413,2022-11-13,Grocery,Kolkata
318,672,2835,2022-11-14,Grocery,Chennai
319,490,2318,2022-11-15,Grocery,Chennai
320,2097,4807,2022-11-16,Travel,Chennai
321,1683,1252,2022-11-17,Dining,Bangalore
322,316,156,2022-11-18,Fuel,Kolkata
323,2461,1304,2022-11-19,Electronics,Mumbai
324,434,4441,2022-11-20,Electronics,Bangalore
325,1026,243,2022-11-21,Fuel,Chennai
326,1976,467,2022-11-22,Travel,Delhi
327,1980,1582,2022-11-23,Electronics,Bangalore
328,1390,715,2022-11-24,Grocery,Bangalore
329,420,3738,2022-11-25,Electronics,Kolkata
330,1597,3428,2022-11-26,Fuel,Bangalore
331,1585,3327,2022-11-27,Grocery,Kolkata
332,844,1688,2022-11-28,Electronics,Delhi
333,1468,2589,2022-11-29,Fuel,Mumbai
334,434,3103,2022-11-30,Travel,Mumbai
335,1579,798,2022-12-01,Fuel,Chennai
336,2105,2923,2022-12-02,Travel,Chennai
337,964,1044,2022-12-03,Grocery,Delhi
338,977,3981,2022-12-04,Fuel,Mumbai
339,46,1022,2022-12-05,Dining,Chennai
340,1194,1846,2022-12-06,Dining,Bangalore
341,417,4220,2022-12-07,Dining,Kolkata
342,848,2953,2022-12-08,Dining,Chennai
343,2187,1659,2022-12-09,Dining,Delhi
344,247,1183,2022-12-10,Travel,Mumbai
345,230,3638,2022-12-11,Fuel,Delhi
346,792,533,2022-12-12,Grocery,Kolkata
347,637,3026,2022-12-13,Dining,Kolkata
348,2422,1189,2022-12-14,Dining,Delhi
349,738,3057,2022-12-15,Grocery,Chennai
350,1089,2712,2022-12-16,Grocery,Chennai
351,88,4291,2022-12-17,Dining,Mumbai
352,713,3859,2022-12-18,Travel,Mumbai
353,1750,4363,2022-12-19,Grocery,Bangalore
354,1228,2189,2022-12-20,Fuel,Bangalore
355,1937,2002,2022-12-21,Fuel,Mumbai
356,1406,2667,2022-12-22,Travel,Bangalore
357,601,2098,2022-12-23,Electronics,Delhi
358,1500,3214,2022-12-24,Travel,Chennai
359,214,3094,2022-12-25,Dining,Bangalore
360,2122,2110,2022-12-26,Electronics,Bangalore
361,2109,4944,2022-12-27,Dining,Delhi
362,698,1991,2022-12-28,Fuel,Kolkata
363,1243,930,2022-12-29,Grocery,Mumbai
364,2060,148,2022-12-30,Dining,Delhi
365,2080,4310,2022-12-31,Fuel,Kolkata
366,1184,1278,2023-01-01,Travel,Delhi
367,1001,3133,2023-01-02,Dining,Chennai
368,237,170,2023-01-03,Fuel,Delhi
369,1205,166,2023-01-04,Grocery,Delhi
370,1482,1877,2023-01-05,Dining,Chennai
371,1104,2328,2023-01-06,Fuel,Mumbai
372,647,1889,2023-01-07,Dining,Kolkata
373,473,712,2023-01-08,Grocery,Bangalore
374,112,1986,2023-01-09,Dining,Mumbai
375,1846,1722,2023-01-10,Dining,Delhi
376,1655,796,2023-01-11,Fuel,Bangalore
377,383,1337,2023-01-12,Electronics,Chennai
378,17,2506,2023-01-13,Dining,Mumbai
379,493,348,2023-01-14,Electronics,Kolkata
380,1897,737,2023-01-15,Travel,Mumbai
381,1510,1049,2023-01-16,Dining,Mumbai
382,117,2004,2023-01-17,Electronics,Bangalore
383,1579,3687,2023-01-18,Travel,Chennai
384,880,1211,2023-01-19,Fuel,Chennai
385,2163,275,2023-01-20,Dining,Mumbai
386,1819,822,2023-01-21,Fuel,Chennai
387,1573,3942,2023-01-22,Travel,Bangalore
388,1649,3774,2023-01-23,Fuel,Bangalore
389,644,4966,2023-01-24,Fuel,Kolkata
390,1360,2047,2023-01-25,Grocery,Chennai
391,336,802,2023-01-26,Travel,Kolkata
392,147,2228,2023-01-27,Fuel,Delhi
393,122,1026,2023-01-28,Electronics,Bangalore
394,81,4333,2023-01-29,Travel,Mumbai
395,2423,3604,2023-01-30,Grocery,Bangalore
396,2111,2617,2023-01-31,Dining,Delhi
397,504,2497,2023-02-01,Fuel,Mumbai
398,668,1249,2023-02-02,Electronics,Chennai
399,2497,3480,2023-02-03,Grocery,Chennai
400,1445,1978,2023-02-04,Travel,Bangalore
401,1346,1353,2023-02-05,Fuel,Mumbai
402,1190,1583,2023-02-06,Grocery,Mumbai
403,1621,409,2023-02-07,Grocery,Kolkata
404,1981,4052,2023-02-08,Electronics,Delhi
405,1673,3149,2023-02-09,Dining,Chennai
406,459,1664,2023-02-10,Dining,Bangalore
407,1213,1600,2023-02-11,Dining,Mumbai
408,464,4965,2023-02-12,Travel,Chennai
409,912,115,2023-02-13,Grocery,Bangalore
410,2427,705,2023-02-14,Travel,Chennai
411,1026,1481,2023-02-15,Grocery,Bangalore
412,2412,3483,2023-02-16,Electronics,Chennai
413,72,994,2023-02-17,Electronics,Kolkata
414,1451,1667,2023-02-18,Travel,Delhi
415,1194,513,2023-02-19,Travel,Chennai
416,1849,4220,2023-02-20,Electronics,Delhi
417,2385,2104,2023-02-21,Fuel,Chennai
418,2023,415,2023-02-22,Dining,Mumbai
419,2243,4766,2023-02-23,Dining,Kolkata
420,1012,4920,2023-02-24,Electronics,Kolkata
421,653,3155,2023-02-25,Dining,Delhi
422,1299,1949,2023-02-26,Fuel,Mumbai
423,7,2053,2023-02-27,Fuel,Bangalore
424,905,488,2023-02-28,Grocery,Kolkata
425,2029,2869,2023-03-01,Travel,Mumbai
426,616,4639,2023-03-02,Dining,Mumbai
427,1874,3146,2023-03-03,Fuel,Delhi
428,770,2515,2023-03-04,Travel,Mumbai
429,2290,2489,2023-03-05,Travel,Mumbai
430,1567,403,2023-03-06,Grocery,Bangalore
431,1486,863,2023-03-07,Travel,Delhi
432,1441,2073,2023-03-08,Travel,Delhi
433,766,915,2023-03-09,Electronics,Mumbai
434,384,977,2023-03-10,Grocery,Bangalore
435,2439,4898,2023-03-11,Grocery,Chennai
436,688,2426,2023-03-12,Dining,Kolkata
437,1150,2529,2023-03-13,Travel,Delhi
438,47,2160,2023-03-14,Dining,Bangalore
439,1973,4498,2023-03-15,Fuel,Bangalore
440,464,1679,2023-03-16,Travel,Mumbai
441,1873,4355,2023-03-17,Fuel,Kolkata
442,123,2301,2023-03-18,Electronics,Delhi
443,2182,3697,2023-03-19,Travel,Chennai
444,1643,1303,2023-03-20,Dining,Mumbai
445,841,2524,2023-03-21,Dining,Delhi
446,1586,3975,2023-03-22,Travel,Delhi
447,1804,2923,2023-03-23,Dining,Bangalore
448,23,3385,2023-03-24,Travel,Kolkata
449,566,2163,2023-03-25,Grocery,Chennai
450,1910,2079,2023-03-26,Dining,Kolkata
451,965,4448,2023-03-27,Travel,Bangalore
452,2283,3231,2023-03-28,Travel,Chennai
453,996,3192,2023-03-29,Dining,Chennai
454,1188,4926,2023-03-30,Grocery,Mumbai
455,1795,3764,2023-03-31,Dining,Chennai
456,826,2436,2023-04-01,Travel,Delhi
457,216,3714,2023-04-02,Grocery,Kolkata
458,657,597,2023-04-03,Fuel,Kolkata
459,1114,3917,2023-04-04,Electronics,Mumbai
460,1988,4743,2023-04-05,Dining,Chennai
461,311,231,2023-04-06,Travel,Bangalore
462,557,957,2023-04-07,Grocery,Delhi
463,2305,620,2023-04-08,Grocery,Mumbai
464,1557,129,2023-04-09,Fuel,Chennai
465,52,3496,2023-04-10,Dining,Bangalore
466,1362,4704,2023-04-11,Grocery,Chennai
467,1195,1360,2023-04-12,Fuel,Mumbai
468,1649,1658,2023-04-13,Travel,Bangalore
469,2348,115,2023-04-14,Fuel,Bangalore
470,672,3705,2023-04-15,Dining,Bangalore
471,778,1707,2023-04-16,Fuel,Bangalore
472,832,3617,2023-04-17,Grocery,Chennai
473,2280,2116,2023-04-18,Grocery,Bangalore
474,1861,3674,2023-04-19,Electronics,Chennai
475,1530,1843,2023-04-20,Fuel,Bangalore
476,2076,3891,2023-04-21,Travel,Bangalore
477,1973,3734,2023-04-22,Dining,Mumbai
478,1075,1188,2023-04-23,Electronics,Chennai
479,1717,1461,2023-04-24,Fuel,Chennai
480,1284,3472,2023-04-25,Travel,Kolkata
481,591,4573,2023-04-26,Electronics,Mumbai
482,1987,575,2023-04-27,Grocery,Chennai
483,1002,1389,2023-04-28,Dining,Mumbai
484,2232,428,2023-04-29,Fuel,Mumbai
485,1047,4144,2023-04-30,Travel,Mumbai
486,2177,1939,2023-05-01,Grocery,Delhi
487,2339,1286,2023-05-02,Electronics,Chennai
488,1856,4633,2023-05-03,Dining,Mumbai
489,501,3514,2023-05-04,Electronics,Delhi
490,2234,3636,2023-05-05,Electronics,Delhi
491,479,1873,2023-05-06,Travel,Bangalore
492,1595,2163,2023-05-07,Grocery,Bangalore
493,513,1944,2023-05-08,Fuel,Chennai
494,2333,2658,2023-05-09,Travel,Bangalore
495,601,1362,2023-05-10,Dining,Chennai
496,1441,3391,2023-05-11,Electronics,Delhi
497,1124,1118,2023-05-12,Dining,Delhi
498,189,1889,2023-05-13,Travel,Chennai
499,989,3624,2023-05-14,Travel,Bangalore
500,1882,3604,2023-05-15,Fuel,Bangalore
501,388,906,2023-05-16,Electronics,Chennai
502,2289,2766,2023-05-17,Travel,Kolkata
503,1806,504,2023-05-18,Dining,Bangalore
504,2034,693,2023-05-19,Fuel,Mumbai
505,1755,4049,2023-05-20,Dining,Bangalore
506,2465,4207,2023-05-21,Electronics,Kolkata
507,2224,3380,2023-05-22,Fuel,Delhi
508,387,2312,2023-05-23,Fuel,Delhi
509,1495,1642,2023-05-24,Fuel,Delhi
510,853,713,2023-05-25,Grocery,Bangalore
511,452,968,2023-05-26,Fuel,Delhi
512,2325,911,2023-05-27,Dining,Kolkata
513,1759,1922,2023-05-28,Dining,Kolkata
514,213,4962,2023-05-29,Electronics,Bangalore
515,41,4277,2023-05-30,Travel,Mumbai
516,1146,1844,2023-05-31,Travel,Bangalore
517,2342,2356,2023-06-01,Grocery,Delhi
518,600,4142,2023-06-02,Fuel,Bangalore
519,2025,3767,2023-06-03,Grocery,Kolkata
520,2031,621,2023-06-04,Electronics,Bangalore
521,1783,1625,2023-06-05,Electronics,Bangalore
522,1852,1569,2023-06-06,Travel,Mumbai
523,2499,2775,2023-06-07,Electronics,Kolkata
524,1780,1613,2023-06-08,Fuel,Chennai
525,2382,4976,2023-06-09,Dining,Chennai
526,1905,1551,2023-06-10,Electronics,Kolkata
527,2092,4754,2023-06-11,Grocery,Chennai
528,144,3530,2023-06-12,Fuel,Delhi
529,333,3107,2023-06-13,Electronics,Chennai
530,998,3224,2023-06-14,Electronics,Delhi
531,1420,1853,2023-06-15,Fuel,Kolkata
532,55,1712,2023-06-16,Electronics,Chennai
533,1331,3375,2023-06-17,Dining,Chennai
534,1447,655,2023-06-18,Travel,Delhi
535,1441,4351,2023-06-19,Fuel,Delhi
536,2373,2149,2023-06-20,Grocery,Bangalore
537,1734,924,2023-06-21,Electronics,Mumbai
538,1695,2949,2023-06-22,Travel,Chennai
539,80,3130,2023-06-23,Grocery,Mumbai
540,985,1181,2023-06-24,Grocery,Mumbai
541,865,3425,2023-06-25,Dining,Chennai
542,1588,592,2023-06-26,Travel,Delhi
543,472,4864,2023-06-27,Fuel,Bangalore
544,2122,174,2023-06-28,Travel,Kolkata
545,1577,3091,2023-06-29,Travel,Chennai
546,1503,3460,2023-06-30,Grocery,Chennai
547,589,470,2023-07-01,Dining,Kolkata
548,1411,4782,2023-07-02,Dining,Mumbai
549,1906,428,2023-07-03,Travel,Bangalore
550,564,4785,2023-07-04,Travel,Mumbai
551,467,1890,2023-07-05,Electronics,Kolkata
552,599,876,2023-07-06,Grocery,Kolkata
553,1645,2122,2023-07-07,Fuel,Bangalore
554,992,4774,2023-07-08,Fuel,Kolkata
555,1933,4416,2023-07-09,Dining,Kolkata
556,2296,1287,2023-07-10,Grocery,Bangalore
557,1605,1603,2023-07-11,Dining,Chennai
558,67,3391,2023-07-12,Fuel,Mumbai
559,470,3425,2023-07-13,Travel,Chennai
560,1725,287,2023-07-14,Grocery,Chennai
561,2334,1314,2023-07-15,Grocery,Mumbai
562,1632,3386,2023-07-16,Electronics,Chennai
563,2360,3546,2023-07-17,Travel,Bangalore
564,2357,1209,2023-07-18,Travel,Mumbai
565,775,2621,2023-07-19,Dining,Delhi
566,1137,3979,2023-07-20,Grocery,Chennai
567,2012,630,2023-07-21,Dining,Kolkata
